img_id,gender,masterCategory,subCategory,articleType,baseColour,season,year,usage,productDisplayName
48487,Women,Apparel,Topwear,Tops,White,Summer,2012.0,Casual,French Connection Women White Top
37568,Girls,Apparel,Topwear,Tshirts,Pink,Summer,2012.0,Casual,Madagascar3 Infant Girls Pink  T-Shirt
44203,Women,Footwear,Flip Flops,Flip Flops,Pink,Winter,2012.0,Casual,iPanema Women Pink Flip Flops
58956,Men,Personal Care,Fragrance,Deodorant,Green,Spring,2017.0,Casual,Denim Men Musk Deo
6292,Men,Apparel,Topwear,Tshirts,Yellow,Summer,2011.0,Casual,UCB Men s 77 Agent Yellow T-shirt
47344,Women,Accessories,Wallets,Wallets,Navy Blue,Summer,2012.0,Casual,Baggit Women Navy Blue Wallet
5068,Men,Accessories,Watches,Watches,Blue,Winter,2016.0,Casual,Being Human Men Grey Dial Blue Strap Watch
58859,Men,Accessories,Cufflinks,Cufflinks,Black,Summer,2012.0,Casual,Hakashi Men Black Cufflinks
34211,Men,Apparel,Topwear,Tshirts,Coffee Brown,Winter,2012.0,Casual,Proline Men Coffee Brown Polo T-shirt
50330,Women,Apparel,Topwear,Kurtas,Brown,Summer,2012.0,Ethnic,Aurelia Women Brown Kurta
12829,Men,Apparel,Bottomwear,Tracksuits,Navy Blue,Fall,2011.0,Sports,Nike Men Stripe Navy Blue Tracksuits
35207,Unisex,Accessories,Bags,Backpacks,Grey,Spring,2013.0,Casual,Wildcraft Unisex Outdoors Within Grey Backpack
30739,Men,Apparel,Topwear,Nehru Jackets,Blue,Summer,2012.0,Ethnic,Fabindia Men Reversible Blue Sleeveless Jacket
29422,Men,Accessories,Watches,Watches,Gold,Winter,2016.0,Formal,Giordano Men Gold & Black Dial Watch
30898,Women,Apparel,Bottomwear,Salwar,Black,Summer,2012.0,Ethnic,Fabindia Women Black Salwar
45624,Men,Footwear,Shoes,Casual Shoes,Black,Winter,2018.0,Casual,Red Tape Men Black Shoes
47358,Women,Accessories,Wallets,Wallets,Olive,Fall,2012.0,Casual,Baggit Women Olive Green Sanjara Jhuti Wallet
23083,Men,Apparel,Topwear,Shirts,Multi,Fall,2011.0,Casual,Arrow Sport Men Multi Coloured Check Shirt
13913,Men,Footwear,Shoes,Sports Shoes,White,Fall,2011.0,Sports,Nike Men Air Dictate MSL White Sports Shoes
53850,Women,Apparel,Topwear,Kurtas,Turquoise Blue,Fall,2012.0,Ethnic,Vishudh Women Turquoise Blue Printed Kurta
17288,Men,Apparel,Topwear,Tshirts,Red,Fall,2011.0,Casual,U.S. Polo Assn. Men Solid Red  Polo Tshirt
48470,Women,Apparel,Dress,Dresses,Teal,Summer,2012.0,Casual,French Connection Teal Dress
22594,Men,Apparel,Topwear,Tshirts,Navy Blue,Fall,2011.0,Sports,Nike Men Navy Blue T-shirt
49608,Women,Footwear,Shoes,Casual Shoes,Red,Winter,2015.0,Casual,Catwalk Women Red Shoes
3920,Men,Apparel,Bottomwear,Track Pants,Beige,Summer,2011.0,Casual,Urban Yoga Men s Yoga Beige Track Pant
27490,Women,Apparel,Innerwear,Briefs,Black,Winter,2015.0,Casual,Jockey Women Black Briefs
4848,Men,Apparel,Topwear,Jackets,Navy Blue,Summer,2011.0,Sports,ADIDAS Men Revo Navy White Jacket
2892,Women,Footwear,Shoes,Heels,White,Winter,2015.0,Casual,Catwalk Women Flat Zip White Flats
42390,Women,Apparel,Topwear,Tshirts,Grey,Summer,2012.0,Casual,Flying Machine Women Grey T-shirt
27232,Women,Apparel,Bottomwear,Shorts,Pink,Summer,2012.0,Casual,Doodle Kids Girl Check Pink Shorts
32275,Women,Apparel,Topwear,Kurtas,Beige,Summer,2012.0,Ethnic,Vishudh Women Printed Beige Kurta
12403,Men,Accessories,Socks,Socks,Brown,Summer,2016.0,Formal,Reid & Taylor Men Solid Brown Socks
19270,Women,Accessories,Watches,Watches,Steel,Winter,2016.0,Casual,Guess Women Mini Prism Steel Watch
1540,Men,Apparel,Topwear,Tshirts,Blue,Fall,2010.0,Casual,Puma Men Ferrari Vintage Black Polo T-shirt
58685,Women,Apparel,Topwear,Kurtas,Black,Summer,2012.0,Ethnic,ALayna Women Black Kurta
33086,Women,Footwear,Shoes,Heels,Red,Winter,2015.0,Casual,Catwalk Women Red Flats
33124,Women,Footwear,Shoes,Heels,Black,Winter,2015.0,Casual,Catwalk Women Black Stilettos
58454,Men,Accessories,Watches,Watches,Black,Winter,2016.0,Casual,Fossil Men Black Dial Chronograph Watch CH2778
11006,Men,Accessories,Watches,Watches,Black,Winter,2016.0,Casual,Puma Men Race Luminous Black Chronograph Watch
50316,Men,Accessories,Ties,Ties,Navy Blue,Summer,2012.0,Formal,Park Avenue Men Navy Blue Tie
59674,Women,Apparel,Saree,Sarees,Blue,Fall,2012.0,Ethnic,FNF Grey Wedding Collection One Minute Saree
22600,Men,Apparel,Topwear,Tshirts,White,Fall,2011.0,Sports,Nike Men White T-shirt
9524,Unisex,Accessories,Bags,Backpacks,Black,Fall,2011.0,Casual,ADIDAS Unisex CR FB Black Backpacks
19675,Women,Apparel,Topwear,Tshirts,White,Summer,2011.0,Casual,United Colors of Benetton Women Printed White T-shirt
51364,Women,Apparel,Bottomwear,Jeans,Blue,Summer,2012.0,Casual,Spykar Women Blue Jeans
7057,Unisex,Accessories,Bags,Backpacks,Navy Blue,Summer,2011.0,Sports,Nike Unisex Barcelona Navy Backpack
23238,Women,Apparel,Topwear,Kurtas,Brown,Fall,2011.0,Ethnic,Aneri Women Janhavi Brown Kurta
20206,Women,Apparel,Topwear,Sweatshirts,Black,Fall,2011.0,Casual,Wrangler Women Ann Black Sweatshirt
45258,Men,Accessories,Watches,Watches,Black,Winter,2016.0,Casual,CASIO EDIFICE Men Black Dial Chronograph Watch ED60
36059,Unisex,Accessories,Bags,Duffel Bag,Olive,Summer,2012.0,Casual,OTLS Unisex Olive Green Duffle Bag
7545,Men,Apparel,Topwear,Tshirts,Green,Summer,2011.0,Sports,Nike Men s Ss Wfc No Loo Gree T-Shirt
17293,Unisex,Accessories,Bags,Backpacks,Red,Fall,2011.0,Casual,Nike Unisex Backpack
25205,Women,Accessories,Bags,Handbags,Beige,Winter,2015.0,Casual,Lino Perros Women Beige & Brown Handbag
50475,Men,Apparel,Innerwear,Briefs,Navy Blue,Winter,2016.0,Casual,Chromozome Men Navy Blue Brief
51443,Women,Apparel,Topwear,Shirts,Yellow,Summer,2012.0,Casual,Myntra Women Yellow Shirt
20904,Women,Footwear,Shoes,Heels,Brown,Winter,2015.0,Casual,Catwalk Women  Brown Heels
18797,Unisex,Accessories,Bags,Handbags,Grey,Summer,2010.0,Casual,Peter England Unisex Casual Grey Bag
2869,Men,Footwear,Shoes,Casual Shoes,White,Fall,2009.0,Casual,iD Men s Denim White Graphic Shoe
52367,Women,Apparel,Loungewear and Nightwear,Nightdress,Green,Winter,2015.0,Casual,Red Rose Women Green Nightdress
28114,Men,Apparel,Innerwear,Trunk,Grey,Summer,2016.0,Casual,Jockey COMFORT PLUS Men Comfort Plus Grey Trunks 8015
53492,Women,Apparel,Innerwear,Bra,White,Winter,2015.0,Casual,Amante White Push-Up Bra BFCV11
37858,Women,Accessories,Bags,Handbags,Black,Summer,2012.0,Casual,Hidekraft Women Black Handbag
38005,Men,Accessories,Watches,Watches,Pink,Winter,2016.0,Casual,Q&Q Men Pink Dial Watch
4582,Unisex,Accessories,Bags,Backpacks,Orange,Winter,2018.0,Casual,Wildcraft Unisex Orange Daypack A4 Backpack
19957,Men,Apparel,Topwear,Sweaters,Grey,Fall,2011.0,Casual,United Colors of Benetton Men Grey Sweater
15525,Women,Footwear,Shoes,Heels,Black,Fall,2011.0,Casual,Rockport Women Jeanie Thong Perf Black Flats
10122,Men,Footwear,Shoes,Sports Shoes,White,Fall,2011.0,Sports,Reebok Men Run Sheer White Sports Shoes
20486,Women,Accessories,Belts,Belts,Black,Winter,2015.0,Casual,Baggit Women Princy Gang Black Belt
26898,Women,Apparel,Topwear,Tops,Pink,Summer,2012.0,Casual,Jealous 21 Women Pink Top
3139,Women,Footwear,Shoes,Heels,Brown,Winter,2015.0,Ethnic,Catwalk Women Ethnic Strap Brown Flats
33038,Women,Apparel,Topwear,Kurtas,Brown,Summer,2012.0,Ethnic,Mother Earth Women Printed Multi Coloured Kurta
37516,Boys,Apparel,Bottomwear,Leggings,White,Summer,2012.0,Casual,Madagascar3 Infant Boys White Leggings
48613,Women,Accessories,Jewellery,Earrings,Silver,Summer,2013.0,Casual,Lucera Women Silver Earrings
22125,Men,Footwear,Shoes,Formal Shoes,Black,Fall,2011.0,Formal,Provogue Men Black Formal Shoes
1552,Unisex,Sporting Goods,Sports Equipment,Footballs,White,Fall,2010.0,Sports,Puma Power Cat Trainer-WR Football
7226,Men,Footwear,Shoes,Formal Shoes,Brown,Fall,2011.0,Formal,Rockport Men s Trinchero Drak Brown Shoe
46866,Men,Accessories,Socks,Socks,Black,Spring,2013.0,Casual,Lino Perros Men Pack Of Two Socks
8131,Women,Accessories,Watches,Watches,Black,Winter,2016.0,Casual,Fastrack Women Core Analog Steel Black Watch
18644,Women,Apparel,Bottomwear,Track Pants,Red,Fall,2010.0,Sports,Puma Women Geranium Red Core Sweatpants
51419,Men,Apparel,Topwear,Shirts,Blue,Summer,2012.0,Casual,Myntra Men Blue and Green  Check Shirt
59515,Women,Accessories,Jewellery,Pendant,Silver,Summer,2013.0,Casual,Lucera Silver Pendant With Chain
24632,Unisex,Footwear,Flip Flops,Flip Flops,Red,Fall,2011.0,Casual,ADIDAS Unisex Red Checks Flip Flops
5601,Men,Footwear,Flip Flops,Flip Flops,Brown,Summer,2011.0,Casual,Nike Men s Splash Thong Yellow Black Flip Flop
44807,Women,Apparel,Topwear,Tops,White,Summer,2012.0,Casual,Spykar Women White Top
16045,Men,Apparel,Topwear,Shirts,White,Fall,2011.0,Casual,Highlander Men Check White Shirt
14176,Men,Accessories,Belts,Belts,Black,Fall,2011.0,Casual,Belmonte Men Thread Black Belts
53048,Women,Apparel,Saree,Sarees,Multi,Fall,2012.0,Ethnic,FNF Multi Coloured Printed Sari
18612,Men,Apparel,Topwear,Tshirts,Black,Fall,2011.0,Sports,Puma Men Team SS Black Tshirts
19858,Men,Apparel,Topwear,Jackets,Black,Fall,2011.0,Casual,U.S. Polo Assn. Men Solid Black Jacket
30671,Men,Accessories,Eyewear,Sunglasses,Grey,Winter,2016.0,Casual,Park Avenue Men Blue Sunglasses
43927,Women,Footwear,Shoes,Heels,Gold,Winter,2012.0,Casual,Catwalk Women Gold Heels
46531,Women,Accessories,Watches,Watches,Silver,Winter,2016.0,Casual,Timen Women Silver Toned Dial Watch T2N150
54089,Women,Apparel,Topwear,Tops,Purple,Summer,2012.0,Casual,Mumbai Slang Women Purple Top
49612,Women,Footwear,Shoes,Heels,Yellow,Winter,2015.0,Casual,Catwalk Women Yellow  Flats
18536,Men,Footwear,Shoes,Sports Shoes,White,Fall,2011.0,Sports,Puma Men Commander White Sports Shoes
8189,Men,Apparel,Topwear,Shirts,Blue,Summer,2011.0,Casual,Locomotive Men Solid Poplin Laird Blue Shirts
23463,Men,Accessories,Scarves,Scarves,Black,Winter,2015.0,Casual,Lino Perros Men Black Check Scarf
56558,Women,Personal Care,Lips,Lip Gloss,Pink,Spring,2017.0,,Streetwear Rose Shimmer Lip Gloss 52
3302,Men,Footwear,Shoes,Sports Shoes,White,Spring,2011.0,Sports,Asics Men s Gel Kayano 17 White Blue Shoe
